category,date,newspaper,timestamp,title,url
Business,"May 8, 2025",The Chronicle,2025-05-10T16:47:32.153104,"‘Africa must urgently diversify its economy, build a robust inclusive production base’",https://www.heraldonline.co.zw/africa-must-urgently-diversify-its-economy-build-a-robust-inclusive-production-base/?from=chronicle
Business,"May 7, 2025",The Chronicle,2025-05-10T16:47:33.121272,Zimbabwe leather industry players to explore market opportunities in Italy,https://www.heraldonline.co.zw/zimbabwe-leather-industry-players-to-explore-market-opportunities-in-italy/?from=chronicle
Business,"May 8, 2025",The Chronicle,2025-05-10T16:47:34.808476,Premier pins Zulu project rescue plan on Glencore,https://www.heraldonline.co.zw/premier-pins-zulu-project-rescue-plan-on-glencore/?from=chronicle
Business,"May 8, 2025",The Chronicle,2025-05-10T16:47:38.521743,SECZim raises awareness on financial crime,https://www.heraldonline.co.zw/seczim-raises-awareness-on-financial-crime/?from=chronicle
Business,"May 8, 2025",The Chronicle,2025-05-10T16:47:40.604270,"eGP system revolutionises public procurement, achieves 75% approval rate for 2025 plans",https://www.heraldonline.co.zw/egp-system-revolutionises-public-procurement-achieves-75-approval-rate-for-2025-plans/?from=chronicle
Business,"May 9, 2025",The Chronicle,2025-05-10T16:47:40.694486,John Pocock and Company celebrate 70 years of service in Bulawayo,https://www.heraldonline.co.zw/john-pocock-and-company-celebrate-70-years-of-service-in-bulawayo/?from=chronicle
Business,"May 8, 2025",The Chronicle,2025-05-10T16:47:41.691332,Digitalisation drive key to investment promotion,https://www.heraldonline.co.zw/digitalisation-drive-key-to-investment-promotion/?from=chronicle
Business,"May 9, 2025",The Chronicle,2025-05-10T16:47:42.895677,Berries export earnings jump 351percent to US$50m,https://www.heraldonline.co.zw/berries-export-earnings-jump-351percent-to-us50m/?from=chronicle
Business,"May 9, 2025",The Chronicle,2025-05-10T16:47:44.095882,"Retail sector forecast to grow by 5,10percent in 2025",https://www.heraldonline.co.zw/retail-sector-forecast-to-grow-by-510percent-in-2025/?from=chronicle
Business,"May 9, 2025",The Chronicle,2025-05-10T16:47:50.158768,Zimbabwe International Trade Fair yields impressive business results,https://www.heraldonline.co.zw/zimbabwe-international-trade-fair-yields-impressive-business-results/?from=chronicle
Business,"May 6, 2025",The Chronicle,2025-05-10T16:47:51.616055,ZimTrade explores new markets in Malawi,https://www.heraldonline.co.zw/zimtrade-explores-new-markets-in-malawi-2/?from=chronicle
Business,"May 10, 2025",The Chronicle,2025-05-10T16:47:52.267033,WestProp Holdings revenue soars 80% driven by residential real estate demand,https://www.heraldonline.co.zw/westprop-holdings-revenue-soars-80-driven-by-residential-real-estate-demand/?from=chronicle
Business,"May 7, 2025",The Chronicle,2025-05-10T16:47:55.151775,First Mutual invests in properties across Zimbabwe,https://www.heraldonline.co.zw/first-mutual-invests-in-properties-across-zimbabwe/?from=chronicle
Business,"May 6, 2025",The Chronicle,2025-05-10T16:47:56.115239,ZITF a huge success: Cabinet,https://www.heraldonline.co.zw/zitf-a-huge-success-cabinet/?from=chronicle
Politics,"June 3, 2016",The Chronicle,2025-05-10T16:47:58.428210,Ex-Ivorian first lady claims she suffered rape attempt,https://www.heraldonline.co.zw/ex-ivorian-first-lady-claims-she-suffered-rape-attempt/?from=chronicle
Arts/Culture/Celebrities,"May 8, 2025",The Chronicle,2025-05-10T16:47:59.448711,Unpacking Jah Prayzah’s soul-stirring Ndini Mukudzeyi album,https://www.heraldonline.co.zw/unpacking-jah-prayzahs-soul-stirring-ndini-mukudzeyi-album/?from=chronicle
