category,date,newspaper,timestamp,title,url
Business,"May 8, 2025",The Sunday Mail,2025-05-10T16:50:26.703323,"NEW: Retail sector growth forecast at 5,1%",https://www.heraldonline.co.zw/new-retail-sector-growth-forecast-at-51/?from=sundaymail
Business,"April 26, 2025",The Sunday Mail,2025-05-10T16:50:29.066780,It’s all systems go for winter wheat farming,https://www.heraldonline.co.zw/its-all-systems-go-for-winter-wheat-farming/?from=sundaymail
Business,"April 26, 2025",The Sunday Mail,2025-05-10T16:50:30.844947,Zim’s impressive export growth: Risks and opportunities,https://www.heraldonline.co.zw/zims-impressive-export-growth-risks-and-opportunities/?from=sundaymail
Business,"May 8, 2025",The Sunday Mail,2025-05-10T16:50:33.975633,NEW: Securities commission seeks to bolster financial sector integrity,https://www.heraldonline.co.zw/new-securities-commission-seeks-to-bolster-financial-sector-integrity/?from=sundaymail
Business,"May 8, 2025",The Sunday Mail,2025-05-10T16:50:36.037636,"NEW: Mining sector glitters with  62,5 percent rise in gold deliveries",https://www.heraldonline.co.zw/new-mining-sector-glitters-with-625-percent-rise-in-gold-deliveries/?from=sundaymail
Business,"April 28, 2025",The Sunday Mail,2025-05-10T16:50:36.476438,8 Tricks for Improving Your Office,https://www.heraldonline.co.zw/8-tricks-for-improving-your-office/?from=sundaymail
Business,"April 12, 2025",The Sunday Mail,2025-05-10T16:50:37.675993,Sweet potato: A super crop with prime opportunities,https://www.heraldonline.co.zw/sweet-potato-a-super-crop-with-prime-opportunities/?from=sundaymail
Business,"April 12, 2025",The Sunday Mail,2025-05-10T16:50:39.866547,Lack of disclosures delays compensation of insurance policyholders,https://www.heraldonline.co.zw/lack-of-disclosures-delays-compensation-of-insurance-policyholders/?from=sundaymail
Business,"April 12, 2025",The Sunday Mail,2025-05-10T16:50:41.085271,Goat breeding turns into  a lucrative venture,https://www.heraldonline.co.zw/goat-breeding-turns-into-a-lucrative-venture/?from=sundaymail
Business,"April 12, 2025",The Sunday Mail,2025-05-10T16:50:43.352418,Zim’s capital markets remain stable,https://www.heraldonline.co.zw/zims-capital-markets-remain-stable/?from=sundaymail
Business,"April 12, 2025",The Sunday Mail,2025-05-10T16:50:45.903174,Banks smile all the way to the bank as customers agonise over high charges,https://www.heraldonline.co.zw/banks-smile-all-the-way-to-the-bank-as-customers-agonise-over-high-charges/?from=sundaymail
Business,"April 12, 2025",The Sunday Mail,2025-05-10T16:50:46.685972,Hoarding cash undermines the economy — RBZ,https://www.heraldonline.co.zw/hoarding-cash-undermines-the-economy-rbz-2/?from=sundaymail
Business,"April 12, 2025",The Sunday Mail,2025-05-10T16:50:48.236797,Zim canvasses for global investment as Expo 2025 Osaka begins,https://www.heraldonline.co.zw/zim-canvasses-for-global-investment-as-expo-2025-osaka-begins/?from=sundaymail
Business,"April 26, 2025",The Sunday Mail,2025-05-10T16:50:49.943515,Grow by showing up,https://www.heraldonline.co.zw/grow-by-showing-up/?from=sundaymail
Business,"April 26, 2025",The Sunday Mail,2025-05-10T16:50:52.122934,"1 017 women, youths undergo start-up business training",https://www.heraldonline.co.zw/1-017-women-youths-undergo-start-up-business-training/?from=sundaymail
Arts/Culture/Celebrities,"July 6, 2014",The Sunday Mail,2025-05-10T16:50:53.176760,Unsung Heroes Making a Difference,https://www.heraldonline.co.zw/unsung-heroes-making-a-difference/?from=sundaymail
Sports,"April 5, 2025",The Sunday Mail,2025-05-10T16:50:54.888226,Everton dent Arsenal’s title hopes,https://www.heraldonline.co.zw/everton-dent-arsenals-title-hopes/?from=sundaymail
Sports,"April 5, 2025",The Sunday Mail,2025-05-10T16:50:56.988237,"MWOS keep fine run  intact, shoot atop",https://www.heraldonline.co.zw/mwos-keep-fine-run-intact-shoot-atop/?from=sundaymail
Sports,"April 12, 2025",The Sunday Mail,2025-05-10T16:50:58.793511,The long road back for Zikeeper,https://www.heraldonline.co.zw/the-long-road-back-for-zikeeper/?from=sundaymail
