category,date,newspaper,timestamp,title,url
Business,"May 9, 2025",The Herald,2025-05-10T15:45:55.418310,Berries export earnings jump 351pc to US$50m,https://www.heraldonline.co.zw/berries-export-earnings-jump-351pc-to-us50m/?from=herald
Business,"May 9, 2025",The Herald,2025-05-10T15:45:57.335991,Trump teases ‘major’ trade announcement,https://www.heraldonline.co.zw/trump-teases-major-trade-announcement/?from=herald
Business,"May 9, 2025",The Herald,2025-05-10T15:45:59.382977,Gold producers deliver 8 tonnes in first quarter,https://www.heraldonline.co.zw/gold-producers-deliver-8-tonnes-in-first-quarter/?from=herald
Business,"May 9, 2025",The Herald,2025-05-10T15:46:01.918312,Kuvimba sets aside US$54m capex for gold cluster,https://www.heraldonline.co.zw/kuvimba-sets-aside-us54m-capex-for-gold-cluster/?from=herald
Business,"May 9, 2025",The Herald,2025-05-10T15:46:04.268533,Govt on course to  meet fingerling  stocking target,https://www.heraldonline.co.zw/govt-on-course-to-meet-fingerling-stocking-target/?from=herald
Business,"May 9, 2025",The Herald,2025-05-10T15:46:06.345488,Zim gold deliveries surge 62pc in April,https://www.heraldonline.co.zw/zim-gold-deliveries-surge-62pc-in-april/?from=herald
Business,"May 8, 2025",The Herald,2025-05-10T15:46:07.272542,"CZI, India chamber  of commerce ink MoU",https://www.heraldonline.co.zw/czi-india-chamber-of-commerce-ink-mou/?from=herald
Business,"May 8, 2025",The Herald,2025-05-10T15:46:08.986559,SADC should accelerate new energy projects — Minister,https://www.heraldonline.co.zw/sadc-should-accelerate-new-energy-projects-minister/?from=herald
Business,"May 8, 2025",The Herald,2025-05-10T15:46:10.541050,ZimTrade initiative empowers Matabeleland North craft producers,https://www.heraldonline.co.zw/zimtrade-initiative-empowers-matabeleland-north-craft-producers/?from=herald
Business,"May 8, 2025",The Herald,2025-05-10T15:46:14.297721,Eagle REIT targets  VFEX debut by May,https://www.heraldonline.co.zw/eagle-reit-targets-vfex-debut-by-may/?from=herald
Business,"May 8, 2025",The Herald,2025-05-10T15:46:14.658844,Boosting trade: ZimTrade leads delegation of exporters to Malawi,https://www.heraldonline.co.zw/boosting-trade-zimtrade-leads-delegation-of-exporters-to-malawi-2/?from=herald
Business,"May 8, 2025",The Herald,2025-05-10T15:46:16.790332,"Retail sector forecast to grow by 5,10 pc in 2025",https://www.heraldonline.co.zw/retail-sector-forecast-to-grow-by-510-pc-in-2025/?from=herald
